lat,lon,name,address
10.7955289,106.7166276,"Công viên Vinhomes Central Park","208 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Hồ Chí Minh"
10.7736885,106.7238749,"Công viên khu đô thị Sala","1 Hoàng Thế Thiện, Phường An Lợi Đông, Thành Phố Thủ Đức"
10.7721849,106.6982274,"Công viên trên mây tại Taka Shimaya","92-94 Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
10.858315,106.5826242,"Công viên cá Koi Rin Rin Park","87/8P Xuân Thới Thượng 6, Ấp Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh"
10.755446,106.0355527,"Công viên cầu Ánh Sao – Hồ Bán Nguyệt","Khu đô thị mới Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Hồ Chí Minh"
10.7864119,106.6620817,"Công viên Thỏ Trắng","875 đường Cách Mạng Tháng 8, Phường 15, Quận 10, Hồ Chí Minh"
10.7880404,106.7009987,"Thảo Cầm Viên","2 Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
10.7715194,106.6938642,"Công viên Tao Đàn","Đường Trương Định, Phường Bến Thành, Quận 1, Hồ Chí Minh"
10.7897895,106.6912343,"Công viên Lê Văn Tám","Đường Võ Thị Sáu, Phường Đa Kao, Quận 1, Hồ Chí Minh"
10.7796175,106.6950692,"Công viên 30-4","198 Lê Duẩn, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
10.7661033,106.6393187,"Công viên nước Đầm Sen","3 Hòa Bình, Phường 3, Quận 11, Hồ Chí Minh"
10.8650032,106.8010046,"Công viên phép thuật Harry Potter","120 Xa lộ Hà Nội, Phường Tân Phú, Quận 9, Hồ Chí Minh"
10.8090427,106.6716171,"Công viên Gia Định","Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
10.7688771,106.6911845,"Công viên 23-9","Đường Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
10.9848113,106.5204048,"Công viên nước Củ Chi","Ấp 4, Tỉnh lộ 8, Xã Phước Vĩnh An, Huyện Củ Chi, Hồ Chí Minh"
10.8001324,106.6653437,"Công viên Hoàng Văn Thụ","Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh"
